* Sea-Bird SBE37 Data File:
* FileName = C:\Users\edaly\Documents\Cruise_material_data_misc\TC24015\ODISSEA_Deployment\TC24015_5510_predip_data.asc
* Software Version 1.59
* Temperature SN = 5510
* Conductivity SN = 5510
* System UpLoad Time = Jun 24 2024 12:30:04
** TC24015 pre-cal dip data download sn5510
* ds
* SBE37-SM V 2.6b  SERIAL NO. 5510    24 Jun 2024  11:28:09
* not logging: received stop command
* sample interval = 10 seconds
* samplenumber = 1380, free = 189270
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 30 seconds
* internal pump not installed
* temperature = 16.21 deg C

* S>
* SBE37-SM V 2.6b  5510
* temperature:  18-apr-24
*     TA0 = 5.292380e-05
*     TA1 = 2.620106e-04
*     TA2 = -1.427135e-06
*     TA3 = 1.264616e-07
* conductivity:  18-apr-24
*     G = -1.004675e+00
*     H = 1.402256e-01
*     I = -1.306509e-05
*     J = 2.309210e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = 4.302277e-05
* pressure S/N 227853, range = 10000 psia:  25-mar-24
*     PA0 = 9.378762e+00
*     PA1 = 4.360928e-01
*     PA2 = -4.632869e-08
*     PTCA0 = 6.665435e+01
*     PTCA1 = 1.036688e+00
*     PTCA2 = -1.136980e-03
*     PTCSB0 = 2.801100e+01
*     PTCSB1 = 3.466667e-03
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  18-apr-24
*     RTCA0 = 9.999760e-01
*     RTCA1 = 1.622269e-06
*     RTCA2 = -3.257723e-08

* S> 
*END*
start time =  24 Jun 2024  07:37:15
sample interval = 10 seconds
start sample number = 1
 16.9726,-0.00005,    0.336,   0.0000, 24 Jun 2024, 07:37:15
 16.9711,-0.00005,    0.336,   0.0000, 24 Jun 2024, 07:37:26
 16.9754,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:37:36
 16.9855,-0.00005,    0.336,   0.0000, 24 Jun 2024, 07:37:46
 16.9951,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:37:56
 17.0221,-0.00006,    0.336,   0.0000, 24 Jun 2024, 07:38:06
 17.0154,-0.00006,    0.336,   0.0000, 24 Jun 2024, 07:38:16
 17.0077,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:38:26
 17.0051,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:38:36
 16.9985,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:38:46
 16.9970,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:38:56
 16.9978,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:39:06
 16.9908,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:39:16
 16.9834,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:39:26
 16.9763,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:39:36
 16.9745,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:39:46
 16.9694,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:39:56
 16.9872,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:40:06
 16.9869,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:40:16
 16.9828,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:40:26
 16.9836,-0.00007,    0.213,   0.0000, 24 Jun 2024, 07:40:36
 17.0181,-0.00006,    0.213,   0.0000, 24 Jun 2024, 07:40:46
