PosE      2421.51	-6735.28        NaN  
Pos1      2421.57	-6735.418         NaN  
Pos2      2423.976	-6738.64        NaN  
Pos3      2425.956	-6740.386         NaN  
Pos4      2426.49	-6740.734         NaN  
Pos4      2426.634	-6740.836         NaN  
