Temperature,Difference,MicroCAT,minus,CTD,from,Calibration,,Difference,MicroCAT,minus,CTD,from,Calibration,,,,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration
Cruise ID,1,,,2,,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,
Sensor ID,Delta T,Date,Comment,Delta T,Date ,Comment,,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date ,Comment,Delta T,Date ,Comment,Delta T,Date ,Comment
,[K],,,[K],,,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,
,KN221-02,,,PE399,,,,KN221-03,,,PE400,,,DY053,,,DY054,,,DY078,,,AR304,,,MSM74,,
11325,-0.0004,14/12/2015,CRG,,LH flooded,,,,,,,,,,,,,,,-0.0008,24/01/2019,SJ,-0.0004,07/02/2019,SJ,,,
11326,,,,,,,,-0.0021,23/08/2016,CRG,0.0031,26/08/2016,CRG,,,,-0.0007,05/10/2016,CRG,,,,-0.0008,24/01/2019,SJ,,,
11327,,,,,,,,0.0002,24/08/2016,CRG,0.0007,23/09/2016,CRG,,,,-0.001,05/10/2016,CRG,-0.0015,07/02/2019,SJ,-0.0008,07/02/2019,SJ,,,
11328,,,,,,,,-0.0025,23/08/2016,CRG,0.0023,26/08/2016,CRG,,,,-0.0009,05/10/2016,CRG,,,,-0.001,24/01/2019,SJ,,,
11329,,,,,,,,-0.0014,23/08/2016,CRG,0.0002,26/08/2016,CRG,-0.0014,26/07/2017,COD,,,,-0.0021,26/07/2017,COD,,,,,,
11330,,,,,,,,-0.0009,24/08/2016,CRG,0.0007,26/08/2016,CRG,,,,-0.0006,05/10/2016,CRG,-0.0012,07/02/2019,SJ,-0.0008,07/02/2019,SJ,,,
11331,0.0002,14/12/2015,CRG,-0.0006,12/09/2016,CRG,,,,,,,,-0.0009,30/08/2016,CRG,,,,,,,-0.0006,24/01/2019,SJ,0.0002,04/02/2019,LH
11332,0.0017,14/12/2015,CRG,0.0009,12/09/2016,CRG,,,,,,,,0.0006,30/08/2016,CRG,,,,,,,0.0013,24/01/2019,SJ,0.0019,04/02/2019,LH
11333,0.0022,14/12/2015,CRG,0.0012,12/09/2016,CRG,,,,,,,,0.0009,30/08/2016,CRG,,,,,,,0.0016,24/01/2019,SJ,0.0023,04/02/2019,LH
11334,0.0018,14/12/2015,CRG,0.0016,14/12/2015,CRG,,,,,,,,,,,,,,-0.0013,07/02/2019,SJ,-0.0006,07/02/2019,SJ,,,
11335,0.0008,14/12/2015,CRG,0.0005,14/12/2015,CRG,,,,,0.0005,14/12/2015,CRG*,,,,0,05/10/2016,CRG,-0.0007,07/02/2019,SJ,-0.0002,07/02/2019,SJ,,,
11336,,,,,,,,-0.001,23/08/2016,CRG,0.0018,26/08/2016,CRG,,,,-0.0007,05/10/2016,CRG,,,,-0.0007,24/01/2019,SJ,,,
11337,,,,,,,,-0.0029,23/08/2016,CRG,-0.0004,26/08/2016,CRG,-0.0009,26/07/2017,COD,,,,-0.0021,26/07/2017,COD,,,,,,
11338,,,,,,,,0.0027,21/09/2016,CRG,-0.001,23/09/2016,CRG,,,,-0.0018,05/10/2016,CRG,-0.0011,07/02/2019,SJ,-0.0016,07/02/2019,SJ,,,
11339,,,,,,,,-0.0001,23/08/2016,CRG,0.0019,26/08/2016,CRG,0,26/07/2017,COD,,,,-0.0008,26/07/2017,COD,0.0001,24/01/2019,SJ,,,
11340,,,,,,,,-0.0001,23/08/2016,CRG,0.0034,26/08/2016,CRG,,,,0.0004,05/10/2016,CRG,,,,0.0004,24/01/2019,SJ,,,
11341,,,,,,,,0.0046,21/09/2016,CRG,0.002,26/08/2016,CRG,,,,0.0008,05/10/2016,CRG,-0.0001,07/02/2019,SJ,0.0007,07/02/2019,SJ,,,
11342,,,,,,,,0.0011,24/08/2016,CRG,0.0018,23/09/2016,CRG,,,,0.0004,05/10/2016,CRG,-0.0003,07/02/2019,SJ,0.0007,07/02/2019,SJ,,,
11343,,,,,,,,0.0039,21/09/2016,CRG,0.0005,23/09/2016,CRG,,,,-0.0003,05/10/2016,CRG,-0.0009,07/02/2019,SJ,-0.0001,07/02/2019,SJ,,,
13019,,,,-0.0002,12/09/2016,CRG,,,,,,,,-0.0011,30/08/2016,CRG,,,,,,,-0.0008,24/01/2019,SJ,0.0003,04/02/2019,LH
13020,,,,-0.0008,12/09/2016,CRG,,,,,,,,-0.0012,30/08/2016,CRG,,,,,,,,,,0.0002,04/02/2019,LH
13021,,,,-0.0016,12/09/2016,CRG,,,,,,,,-0.001,30/08/2016,CRG,,,,,,,-0.0007,24/01/2019,SJ,0.0003,04/02/2019,LH
13022,,,,-0.0005,12/09/2016,CRG,,,,,,,,-0.0011,30/08/2016,CRG,,,,,,,,,,0.0002,07/02/2019,LH
14353,,,,,,,,,,,,,,-0.0009,26/07/2017,COD,,,,-0.0013,26/07/2017,COD,,,,,,
14354,,,,,,,,,,,,,,-0.001,26/07/2017,COD,,,,-0.0016,26/07/2017,COD,0.0001,24/01/2019,SJ,,,
14355,,,,,,,,,,,,,,-0.0001,08/01/2018,LOH,,,,-0.0015,26/07/2017,COD,,,,,,
14356,,,,,,,,,,,,,,0.0004,08/01/2018,LOH,,,,-0.0016,26/07/2017,COD,0,24/01/2019,SJ,,,
14364,,,,,,,,,,,,,,0.0002,08/01/2018,LOH,,,,-0.0017,26/07/2017,COD,0.0001,24/01/2019,SJ,,,
14365,,,,,,,,,,,,,,-0.0002,08/01/2018,LOH,,,,-0.0016,26/07/2017,COD,,,,,,
14366,,,,,,,,,,,,,,-0.0001,08/01/2018,LOH,,,,-0.002,26/07/2017,COD,0.0001,24/01/2019,SJ,,,
14367,,,,,,,,,,,,,,-0.0006,08/01/2018,LOH,,,,-0.0022,26/07/2017,COD,0.0003,24/01/2019,SJ,,,
14368,,,,,,,,,,,,,,0.0007,08/01/2018,LOH,,,,-0.001,26/07/2017,COD,,,,,,
14987,,,,,,,,,,,,,,,,,,,,-0.001,07/02/2019,SJ,-0.0009,07/02/2019,SJ,,,
15254,,,,,,,,,,,,,,,,,,,,-0.0017,07/02/2019,SJ,-0.0019,07/02/2019,SJ,,,
15298,,,,,,,,,,,,,,,,,,,,-0.0008,07/02/2019,SJ,-0.0006,07/02/2019,SJ,,,
