Cruise     = OSNAP
deployment = 4
Mooring    = rteb1_04_2017      
Mooring    = rtwb1_04_2017    
Mooring    = rtwb2_04_2017  
Columns    = z:instrument:serialnumber
50	375	0117
50	335	15476
50	337	11343
95	370	11069
100	337	11342
245	370	11042
250	337	11341
495	370	11047
500	337	11338
750	337	11335
750	335	15254
950	335	14987
1000	370	11055
1005	337	11334
1250	337	11330
1350	370	11046
1500	337	11327
1600	335	15298
1775	337	11325
1775	370	13018
50	337	11290
100	370	11021
106	337	11289
247	337	11288
495	370	9859
500	337	11287
750	337	10577
995	370	11026
1000	337	3276
1250	337	9375
1350	370	9854
1500	337	10560
1570	370	11029
1575	337	9377
1000      370     11023
1350      370     11028
1575      337    11322
1765      370     11030
1770      337    11320
