Cruise     = OSNAP
deployment = 3
Mooring    = rteb1_03_2016
Mooring    = rtwb1_03_2016
Mooring    = rtwb2_03_2016
Mooring    = nocm1_03_2016
Mooring    = nocm2_03_2016
Mooring    = nocm3_03_2016
Mooring    = nocm4_03_2016
Mooring    = nocm5_03_2016
Columns    = z:instrument:serialnumber
95 370 9867
100 337 9140
245 370 11035
250 337 10558
495 370 11048
500 337 10559
750 337 10562
1000 370 13130
1005 337 9113
1250 337 11329
1350 370 13142
1500 337 11337
1775 370 9868
1775 337 11339
     95      370     8365
     80      337     9141
    250      337    14355
    495      370    11051
    500      337    14356
    730      337    14364
    995      370    11069
    980      337    14365
   1230      337    14366
   1350      370    11046
   1480      337    14367
   1570      370    13018
   1557      337    14368
   1000      370     9881
   1350      370     9861
   1575      337    14353
   1765      370     9877
   1770      337    14354
   51      370    11067
   57      337     3218
  295      337     3481
  530      370    11064
  536      337     8077
  771      337     8082
 1011      370    11063
 1017      337     8443
 1251      337     9373
 1491      370     9853
 1497      337    11321
 1731      370    11034
 1736      337    11323
 1962      337    11324
 1970      324    20962
 1500      337    11331
 1715      337    11332
 1926      370     8364
 1931      337    11333
 2145      337    13019
 2354      337    13020
 2362      324    20957
 1500      337    13021
 1790      337    13022
 2075      370     9885
 2081      337     8078
 2369      337     8079
 2654      337     8080
 2662      324    20961
 1493      370    11058
 1499      337     8081
 1839      337     9374
 2174      370     9822
 2180      337    10561
 2518      337    11326
 2853      337    11328
 2861      324    20959
 1498      337    11336
 1859      337    11340
 2214      370     9874
 2200      337     9378
 2578      337    10578
 2933      337    10579
 2940      324    20960 
