Conductivity,Difference,MicroCAT,minus,CTD,from,Calibration,,Difference,MicroCAT,minus,CTD,from,Calibration,,,,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration
Cruise ID,1,,,2,,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
Sensor ID,delta C ,Date,Comment,delta C ,Date ,Comment,,delta C ,Date,Comment,delta C ,Date ,Comment,delta C ,Date,Comment,delta C ,Date ,Comment,delta C,Date,Comment,delta C,Date,Comment,delta C ,Date ,Comment,delta C ,Date ,Comment
,[mS-cm],,,[mS-cm],,,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,,[mS-cm],,
,KN221-02,,,PE399,,,,KN221-03,,,PE400,,,dy053,,,dy054,,,dy078,,,ar304,,,msm74,,,dy120,,
10562,,,,,,,,0.0005,24/08/2016,CRG,-0.0011,23/09/2016,CRG,-0.002,26/07/2017,COD,,,,-0.0059,26/07/2017,COD,0.0023,03/12/2020,SJ/LD,,,,0.003,02/12/2020,SJ/LD
10575,-0.042,14/12/2015,CRG,-0.0159,14/12/2015,CRG,,,,,,,,,,,,,,,,,0.0107,24/01/2019,SJ,,,,,,
10576,-0.0249,14/12/2015,CRG,-0.0392,12/09/2016,CRG,,,,,,,,,,,,,,,,,-0.0453,03/12/2020,SJ/LD,,,,,,
10577,-0.0021,14/12/2015,CRG,-0.0026,14/12/2015,CRG,,,,,-0.0026,14/12/2015,CRG*,,,,-0.0036,05/10/2016,CRG,-0.0041,24/01/2019,SJ,-0.0002,03/12/2020,SJ/LD,,,,0.0088,02/12/2020,SJ/LD
10578,-0.0124,14/12/2015,CRG,-0.0076,14/12/2015,CRG,,,,,-0.0076,14/12/2015,CRG*,,,,-0.0097,05/10/2016,CRG,,,,-0.0079,24/01/2019,SJ,,,,-0.0027,29/01/2021,LH
10579,-0.0031,14/12/2015,CRG,-0.0052,14/12/2015,CRG,,,,,-0.0052,14/12/2015,CRG*,,,,-0.0073,05/10/2016,CRG,,,,-0.0068,24/01/2019,SJ,,,,-0.0076,29/01/2021,LH
11287,-0.0033,14/12/2015,CRG,,,,,-0.0025,24/08/2016,CRG,-0.0021,26/08/2016,CRG,,,,-0.0053,05/10/2016,CRG,-0.0034,24/01/2019,SJ,0.0025,03/12/2020,SJ/LD,,,,,19/11/2020,SJ/LD
11288,-0.0027,14/12/2015,CRG,-0.0009,14/12/2015,CRG,,,,,-0.0009,14/12/2015,CRG*,,,,-0.002,05/10/2016,CRG,-0.003,24/01/2019,SJ,0.0031,03/12/2020,SJ/LD,,,,0.0078,02/12/2020,SJ/LD
11289,-0.0024,14/12/2015,CRG,-0.0018,14/12/2015,CRG,,,,,-0.0018,14/12/2015,CRG*,,,,-0.0021,05/10/2016,CRG,-0.0001,24/01/2019,SJ,0.0029,03/12/2020,SJ/LD,,,,0.0131,02/12/2020,SJ/LD
11290,-0.0015,14/12/2015,CRG,-0.001,14/12/2015,CRG,,,,,-0.001,14/12/2015,CRG*,,,,-0.0021,05/10/2016,CRG,-0.0002,24/01/2019,SJ,0.0036,03/12/2020,SJ/LD,,,,0.0146,02/12/2020,SJ/LD
11320,-0.0006,14/12/2015,CRG,-0.0002,14/12/2015,CRG,,,,,-0.0002,14/12/2015,CRG*,,,,-0.0039,05/10/2016,CRG,-0.0037,24/01/2019,SJ,-0.0064,19/02/2019,SJ - manually edited .raw file as YY incorrect,,,,,,
11321,-0.002,14/12/2015,CRG,0.0031,12/09/2016,CRG,,,,,,,,0.0089,30/08/2016,CRG,,,,,,,0.0019,24/01/2019,SJ,-0.0014,04/02/2019,LH,0.0061,01/02/2021,LH
11322,-0.0014,14/12/2015,CRG,0.0682,12/09/2016,CRG,,,,,,,,,,,,,,-0.0063,24/01/2019,SJ,-0.0032,07/02/2019,SJ,,,,,,
