Temperature,Difference,MicroCAT,minus,CTD,from,Calibration,,Difference,MicroCAT,minus,CTD,from,Calibration,,,,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration,CTD,from,Calibration
Cruise ID,1,,,2,,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
Sensor ID,Delta T,Date,Comment,Delta T,Date ,Comment,,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date,Comment,Delta T,Date,Comment,Delta T,Date ,Comment,Delta T,Date ,Comment
,[K],,,[K],,,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,,[K],,
,KN221-02,,,PE399,,,,KN221-03,,,PE400,,,DY053,,,DY054,,,DY078,,,AR304,,,MSM74,,,DY120,,
10559,,,,,,,,0.0035,21/09/2016,CRG,0.0001,26/08/2016,CRG,-0.0005,26/07/2017,COD,,,,-0.0013,26/07/2017,COD,-0.0008,03/12/2020,SJ/LD,,,,0.0007,02/12/2020,SJ/LD
10560,,,,,,,,0.003,21/09/2016,CRG,0,23/09/2016,CRG,,,,-0.0006,05/10/2016,CRG,0.0001,24/01/2019,SJ,0.0008,03/12/2020,SJ/LD,,,,0.0002,02/12/2020,SJ/LD
10561,,,,,,,,-0.0008,24/08/2016,CRG,-0.0005,26/08/2016,CRG,,,,-0.0005,05/10/2016,CRG,,,,-0.0006,24/01/2019,SJ,,,,-0.0017,15/12/2020,SJ/LD
10562,,,,,,,,-0.0002,24/08/2016,CRG,-0.0002,23/09/2016,CRG,-0.0007,26/07/2017,COD,,,,-0.0016,26/07/2017,COD,-0.0004,03/12/2020,SJ/LD,,,,0.0005,02/12/2020,SJ/LD
10575,0,14/12/2015,CRG,-0.0003, ,CRG,,,,,,,,,,,,,,,,,0.0003,24/01/2019,SJ,,,,0.0017,01/02/2021,LD
10576,-0.0017,14/12/2015,CRG,0,12/09/2016,CRG,,,,,,,,,,,,,,,,,,,,,,,0.0009,01/02/2021,LD
10577,0.0001,14/12/2015,CRG,-0.0004,14/12/2015,CRG,,,,,-0.0004,14/12/2015,CRG*,,,,-0.0008,05/10/2016,CRG,0.0001,24/01/2019,SJ,0.0003,03/12/2020,SJ/LD,,,,0.0002,02/12/2020,SJ/LD
10578,0.0002,14/12/2015,CRG,-0.0003,14/12/2015,CRG,,,,,-0.0003,14/12/2015,CRG*,,,,-0.001,05/10/2016,CRG,,,,-0.0005,24/01/2019,SJ,,,,0.0005,15/12/2020,SJ/LD
10579,0.0001,14/12/2015,CRG,-0.0001,14/12/2015,CRG,,,,,-0.0001,14/12/2015,CRG*,,,,-0.0009,05/10/2016,CRG,,,,-0.0006,24/01/2019,SJ,,,,0.0002,15/12/2020,SJ/LD
11110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,01/02/2021,LD
11115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,01/02/2021,LD
11137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,01/02/2021,LD
11139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014,01/02/2021,LD
11287,0,14/12/2015,CRG,,,,,-0.0011,24/08/2016,CRG,-0.0002,26/08/2016,CRG,,,,-0.0008,05/10/2016,CRG,-0.0006,24/01/2019,SJ,-0.0003,03/12/2020,SJ/LD,,,,,19/11/2020,SJ/LD
11288,0.0001,14/12/2015,CRG,-0.0002,14/12/2015,CRG,,,,,-0.0002,14/12/2015,CRG*,,,,-0.0009,05/10/2016,CRG,-0.0002,24/01/2019,SJ,0.0008,03/12/2020,SJ/LD,,,,0.0002,02/12/2020,SJ/LD
11289,0.0001,14/12/2015,CRG,-0.0002,14/12/2015,CRG,,,,,-0.0002,14/12/2015,CRG*,,,,-0.0009,05/10/2016,CRG,-0.0002,24/01/2019,SJ,-0.0002,03/12/2020,SJ/LD,,,,0.0003,02/12/2020,SJ/LD
