Cruise     = OSNAP
deployment = 2
Mooring    = rteb1_02_2015      
Mooring    = rtwb1_02_2015    
Mooring    = rtwb2_02_2015  
Mooring    = nocm1_02_2015     
Mooring    = nocm2_02_2015     
Mooring    = nocm3_02_2015
Mooring    = nocm4_02_2015     
Mooring    = nocm5_02_2015     
Columns    = z:instrument:serialnumber
98 370 8364
75 337 8077
247 370 9853 
253 337 3279
497 370 11034
485 337 9373
742 337 13019
999 370 9881
1005 337 13020
1250 337 4463
1352 370 11051
1515 337 13021
1770 370 11069
1800 337 13022
1802 465 0035
95 370 11055
101 337 8082
249 337 8443
495 370 11058
501 337 11321
751 337 11323
996 370 11063
1002 337 11324
1250 337 11331
1350 370 11064
1500 337 11332
1569 370 11067
1575 337 11333
1596 465 13
1002 370 9822
1351 370 9874
1576 337 3218
1766 370 9885
1771 337 3481
     51      370    11042
     57      337    11340
    295      337    11336
    530      370    11021
    536      337     9374
    771      337     8080
   1011      370    11029
   1017      337     8081
   1251      337    11326
   1491      370    11026
   1497      337    10561
   1731      370    11028
   1736      337    11328
   1962      337    11330
   1970      324    20957
   1470      337     9378
   1685      337    11287
   1896      370    11030
   1901      337    11341
   2115      337    10578
   2324      337    10579
   2332      324    20961
   1290      337     9376
   1580      337    10560
   1865      370    11023
   1871      337    11288
   2159      337    10577
   2444      337    11335
   2452      324    20959
   1513      370     9859
   1519      337    11342
   1864      337    11343
   2194      370     9854
   2204      337    11320
   2542      337    11290
   2872      337    11289
   2881      324    20960
   1578      337     9371
   1939      337     9375
   2294      370    11047
   2300      337     9377
   2658      337    11327
   3013      337    11338
   3020      324    20958   
