Pressure,Difference,MicroCAT,minus,CTD,from,Calibration dips,,,from,Calibration dips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise ID,,1,,,,2,,,,2,,,,3,,,,4,,,,4,,,,5,,,,5,,,,6,,,,6,,,,7,,,,7,,,,8,,,,9,,,,8,,,,10,,
Sensor ID,Mooring,delta P ,Date,Comment,Mooring,delta P,Date ,Comment,Mooring,delta P,Date ,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P,Date ,Comment,Mooring,delta P,Date ,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P,Date,Comment,Mooring,delta P,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment,Mooring,delta P ,Date,Comment
,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,,Configuration,[dbar],,
,,KN221-02,,,,PE399,,,,PE399,,,,KN221-03,,,,PE400,,,,PE400,,,,DY053,,,,DY053,,,,DY054,,,,DY054,,,,DY078,,,,DY078,,,,AR304,,,,MSM74,,,,AR304,,,,DY120,,
8443,,,,,,,,,rtwb1_02_2015,0.4,30/08/2016,CRG,,,,,,,,,,,,,rtwb1_02_2015,0.8,31/08/2016,LH,nocm1_03_2016,2.9,04/02/2019,LH,,,,,,,,,,,,,,,,,,,,,nocm1_03_2016,2.3,04/02/2019,LH,ib5_01_2018,0.5,02/02/2020,LH,ib5_01_2018,-1,02/02/2020,LH
9113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rteb1_03_2016,-1.2,27/07/2017,LOH,,,,,,,,,rteb1_03_2016,0.2,26/07/2017,COD,,,,,rteb1_05_2018,3.3,03/12/2020,SJ/LD,,,,,,,,,rteb1_05_2018,1.7,02/12/2020,SJ/LD
9140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rteb1_03_2016,1.1,27/07/2017,COD,,,,,,,,,,,,,,,,,rtwb1_05_2018,-0.1,03/12/2020,SJ/LD,,,,,,,,,rtwb1_05_2018,,02/12/2020,SJ/LD
9141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rteb1_03_2016,1,27/07/2017,COD,,,,,,,,,rteb1_03_2016,1,27/07/2017,COD,,,,,,,,,,,,,,,,,,,,
9371,,,,,,,,,,,,,nocm4_01_2014,6.1,26/08/2016,CRG,nocm4_01_2014,2.1,26/08/2016,CRG,nocm5_02_2015,1.2,05/10/2016,CRG,,,,,,,,,nocm5_02_2015,0.5,05/10/2016,CRG,,,,,,,,,,,,,,,,,,,,,ib4_01_2018,-0.8,02/02/2020,LH,ib4_01_2018,-1.7,02/02/2020,LH
9372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rtwb2_05_2018,4.4,03/12/2020,SJ/LD - poor P,,,,,,,,,rtwb2_05_2018,3,02/12/2020,SJ/LD
9373,,,,,,,,,rteb1_02_2015,-1.5,31/08/2016,LH,,,,,,,,,,,,,rteb1_02_2015,-0.5,31/08/2016,LH,nocm1_03_2016,-0.5,04/02/2019,LH,,,,,,,,,,,,,,,,,,,,,,,,,ib4_01_2018,-1.1,02/02/2020,LH,ib4_01_2018,,02/02/2020,LH
9374,,,,,,,,,,,,,nocm2_01_2014,10.3,26/08/2016,CRG,nocm2_01_2014,2,26/08/2016,CRG,nocm1_02_2015,0.8,05/10/2016,CRG,,,,,,,,,nocm1_02_2015,0.6,05/10/2016,CRG,nocm4_03_2016,0.7,04/02/2019,LH,,,,,,,,,,,,,,,,,ib4_01_2018,0.7,02/02/2020,LH,ib4_01_2018,-0.7,02/02/2020,LH
9375,,,,,,,,,,,,,nocm5_01_2014,1.1,24/06/2016,CRG,nocm5_01_2014,3.2,26/08/2016,CRG,nocm5_02_2015,2.5,05/10/2016,CRG,,,,,,,,,nocm5_02_2015,1.8,05/10/2016,CRG,,,,,,,,,rtwb1_04_2017,0.9,24/01/2019,SJ,rtwb1_04_2017,0.9,03/12/2020,SJ/LD,,,,,,,,,rteb1_05_2018,-0.5,02/12/2020,SJ/LD
9376,,,,,,,,,,,,,nocm4_01_2014,6.6,26/08/2016,CRG,nocm4_01_2014,2.3,26/08/2016,CRG,nocm3_02_2015,1,05/10/2016,CRG,,,,,,,,,nocm3_02_2015,1,05/10/2016,CRG,,,,,,,,,,,,,,,,,,,,,ib5_01_2018,-0.1,02/02/2020,LH,ib5_01_2018,-1.3,02/02/2020,LH
9377,,,,,,,,,,,,,nocm5_01_2014,0.8,24/08/2016,CRG,nocm5_01_2014,1.6,26/08/2016,CRG,nocm5_02_2015,1.2,05/10/2016,CRG,,,,,,,,,nocm5_02_2015,1.1,05/10/2016,CRG,,,,,,,,,rtwb1_04_2017,0.4,24/01/2019,SJ,rtwb1_04_2017,-1.1,24/01/2020,SJ/LD,,,,,,,,,rtwb2_05_2018,-2.2,02/12/2020,SJ/LD
9378,,,,,,,,,,,,,nocm2_01_2014,1.7,24/08/2016,CRG,nocm2_01_2014,4.6,26/08/2016,CRG,nocm2_02_2015,2.6,05/10/2015,CRG,,,,,,,,,nocm2_02_2015,2.9,05/10/2015,CRG,nocm5_03_2016,2.9,04/02/2019,LH,,,,,,,,,,,,,,,,,ib3_01_2018,-1.4,01/02/2021,LH,ib3_01_2018,-3.1,01/02/2021,LH
10558,,,,,,,,,,,,,nocm1_01_2014,0.3,21/09/2016,CRG,nocm1_01_2014,-0.7,26/08/2016,CRG,,,,,,,,,rteb1_03_2016,1.9,27/07/2017,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
