Cruise     = OSNAP
deployment = 6
Mooring    = rteb1_06_2020
Mooring    = rtwb1_06_2020
Mooring    = rtwb2_06_2020
Mooring    = ib3_02_2020
Mooring    = ib4_02_2020
Mooring    = ib5_02_2020
Columns    = z:instrument:serialnumber
52	337	9141
53	375	004
54	375	117
102	370 11021
103	337	11322
244	370	11023
250	337	9396
494	370	11026
500	335	21560
748	337	11327
749	335	21320
949	335	21319
996	370	11028
1002	337	11330
1247	337	11334
1349	370	11029
1497	337	11335
1650	337	9390
1762	337	11338
1768	370	11030
50	337	11343
100	370	11047
105	337	11342
247	337	14364
493	370	11048
499	337	7923
750	337	7924
994	370	11055
1000	337	11137
1248	337	11139
1349	370	13018
1499	337	10576
1568	370	9861
1573	337	11465
1002	370	8080
1005	337	10575
1351	370	11042
1576	337	11341
1766	370 11046
1771	337	13020
47	337	10559
91	324	20962
92	324	20958
103	337	11332
200	337	11337
350	337	11323
500	337	9374
700	337	3481
900	337	11329
1200	337	9373
1495	370	13130
1500	337	14367
1900	337	11328
2295	370	11051
2300	337	11326
2795	370	13142
2800	337	8443
47	337	9391
47	335	15298
94	324	13872
95	324	24840
103	337	14353
200	337	14354
350	337	11333
500	337	11109
500	335	15476
700	337	11111
900	337	9372
1200	337	3218
1495	370	11064
1500	337	11140
1900	337	10562
2295	370	11067
2300	337	10577
2795	370	11058
2800	337	9377
33	337	10560
75	324	24839
76	324	20961
89	337	11289
184	337	11288
329	337	11110
480	337	14365
486	370	11069
685	337	11320
874	337	9375
880	370	11063
