Cruise,CTD number,linear_time,CTD_start,Latitude [degrees_north],Longitude [degrees_east],Bot. depth [m],Bottle,Nominal depth [m],Bedford Number,Status,Comment,prDM,depSM,t090C,t190C,c0S/m,c1S/m,sal00,sal11,pot090C,sbeox0V,sbeox0Mm/L,SBE35_t090C,SBE35temp_QC,Bottle Firing Time
TC24015,TC24015_015,0.485789953,24/06/2024 09:30,52.49966667,-12.49933333,548,1,498,999999,Good,sn 5510,505.396,500.339,10.3701,10.3706,3.912362,3.911268,35.4625,35.451,10.30885207,1.9682,203.746,,9,24/06/2024 09:46
TC24015,TC24015_015,0.485789953,24/06/2024 09:30,52.49966667,-12.49933333,548,2,248,999999,Good,sn 5509,251.397,249.034,11.1362,11.1362,3.978777,3.977649,35.5022,35.4909,11.10470088,2.3473,243.784,,9,24/06/2024 09:56
TC24015,TC24015_015,0.485789953,24/06/2024 09:30,52.49966667,-12.49933333,548,3,98,999999,Good,sn 7923,100.937,100.025,11.5151,11.5159,4.010677,4.009648,35.522,35.511,11.50226033,2.4139,245.564,,9,24/06/2024 10:04
TC24015,TC24015_015,0.485789953,24/06/2024 09:30,52.49966667,-12.49933333,548,4,48,999999,Good,sn 9141,49.982,49.537,12.4101,12.4097,4.093855,4.092697,35.5056,35.4947,12.40343784,2.582,260.243,,9,24/06/2024 10:11
