Mooring            = cast03
Latitude           =  56 30.5 N
Longitude          =  9 18.12 W
WaterDepth         =  1000
StartDate          = 2022/07/15
StartTime          = 16:45
EndDate            = 2022/07/15 
EndTime            = 19:20
Columns            = z:serialnumber:instrument:deployment
50	3256	337	1
200	3244	337	1
350	3253	337	1
500	3248	337	1
700	3254	337	1
900	3212	337	1
1200	3213	337	1
1500	3257	337	1
50	3231	337	1
105	3232	337	1
200	3219	337	1
700	3207	337	1
700	3264	337	1
350	6115	337	1
920	6123	337	1
50	11321	337	1
100	11324	337	1
250	11325	337	1
500	11336	337	1
750	11340	337	1
1000	8079	337	1
1250	8077	337	1
1500	8078	337	1
1575	3276	337	1

