Mooring            = cast33
Latitude           =  56 30.5 N
Longitude          =  9 18.12 W
WaterDepth         = 3000
StartDate          = 2022/07/21
StartTime          = 04:15
EndDate            = 2022/07/22 
EndTime            = 06:00
Columns            = z:serialnumber:instrument:deployment
1900	3221	337	1
2300	3222	337	1
2800	3224	337	1
1500	9396	337	1
100		11330	337	1
700	11334	337	1
900	11335	337	1
1200	9390	337	1
900	11322	337	1
1200	11327	337	1
1500	11338	337	1
500	10575	337	1
1900	11341	337	1
100	13020	337	1
2800	11343	337	1
2300	11342	337	1
50	14364	337	1
200	11137	337	1
350	11139	337	1
700	10576	337	1
200	14365	337	1
200	9375	337	1
