* Sea-Bird SBE37 Data File:
* FileName = C:\CE25007_recovery_data\5509_data.asc
* Software Version 1.59
* Temperature SN = 5509
* Conductivity SN = 5509
* System UpLoad Time = May 13 2025 15:26:35
* ds
* SBE37-SM V 2.6b  SERIAL NO. 5509    13 May 2025  15:26:50
* not logging: received stop command
* sample interval = 600 seconds
* samplenumber = 46317, free = 144333
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 0 seconds
* internal pump not installed
* temperature = 18.25 deg C

* S>
* SBE37-SM V 2.6b  5509
* temperature:  26-mar-24
*     TA0 = -4.991697e-05
*     TA1 = 2.779801e-04
*     TA2 = -2.559322e-06
*     TA3 = 1.547837e-07
* conductivity:  26-mar-24
*     G = -9.993596e-01
*     H = 1.403798e-01
*     I = -9.615057e-05
*     J = 3.082059e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = 4.235088e-05
* pressure S/N 227852, range = 10000 psia:  25-mar-24
*     PA0 = 2.160976e+01
*     PA1 = 4.541996e-01
*     PA2 = -3.668017e-08
*     PTCA0 = -2.878414e+01
*     PTCA1 = 2.050492e+00
*     PTCA2 = 1.944853e-03
*     PTCSB0 = 2.678200e+01
*     PTCSB1 = 4.600000e-03
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  26-mar-24
*     RTCA0 = 9.999873e-01
*     RTCA1 = 1.814013e-06
*     RTCA2 = -3.527169e-08

* S> 
*END*
start time =  26 Jun 2024  00:00:02
sample interval = 600 seconds
start sample number = 1
 11.3157, 3.99590,  249.987,  35.5003, 26 Jun 2024, 00:00:02
 11.3253, 3.99709,  251.099,  35.5024, 26 Jun 2024, 00:10:02
 11.3291, 3.99767,  252.211,  35.5040, 26 Jun 2024, 00:20:02
 11.3387, 3.99903,  253.200,  35.5079, 26 Jun 2024, 00:30:02
 11.3257, 3.99742,  253.818,  35.5041, 26 Jun 2024, 00:40:02
 11.3285, 3.99762,  254.312,  35.5032, 26 Jun 2024, 00:50:02
 11.3324, 3.99821,  254.807,  35.5051, 26 Jun 2024, 01:00:02
 11.3103, 3.99566,  254.930,  35.5009, 26 Jun 2024, 01:10:02
 11.3079, 3.99540,  254.930,  35.5007, 26 Jun 2024, 01:20:02
 11.3101, 3.99560,  254.807,  35.5006, 26 Jun 2024, 01:30:02
 11.3186, 3.99649,  254.930,  35.5012, 26 Jun 2024, 01:40:02
 11.3256, 3.99712,  254.683,  35.5008, 26 Jun 2024, 01:50:02
 11.3263, 3.99735,  254.189,  35.5027, 26 Jun 2024, 02:00:02
 11.3135, 3.99591,  253.447,  35.5010, 26 Jun 2024, 02:10:02
 11.3138, 3.99580,  252.829,  35.4999, 26 Jun 2024, 02:20:02
 11.3180, 3.99639,  252.088,  35.5021, 26 Jun 2024, 02:30:02
 11.3160, 3.99621,  250.852,  35.5027, 26 Jun 2024, 02:40:02
 11.3405, 3.99865,  249.492,  35.5040, 26 Jun 2024, 02:50:02
 11.3505, 3.99976,  248.009,  35.5061, 26 Jun 2024, 03:00:02
 11.3167, 3.99601,  246.526,  35.5020, 26 Jun 2024, 03:10:02
 11.3311, 3.99734,  245.414,  35.5019, 26 Jun 2024, 03:20:02
 11.3278, 3.99713,  244.302,  35.5035, 26 Jun 2024, 03:30:02
 11.3183, 3.99592,  243.313,  35.5010, 26 Jun 2024, 03:40:02
 11.3120, 3.99520,  242.201,  35.5004, 26 Jun 2024, 03:50:02
 11.3058, 3.99451,  241.212,  35.5000, 26 Jun 2024, 04:00:02
 11.2972, 3.99356,  240.347,  35.4992, 26 Jun 2024, 04:10:02
 11.2959, 3.99334,  239.852,  35.4985, 26 Jun 2024, 04:20:02
 11.2976, 3.99344,  239.358,  35.4981, 26 Jun 2024, 04:30:02
 11.3026, 3.99403,  238.987,  35.4993, 26 Jun 2024, 04:40:02
 11.3076, 3.99456,  238.493,  35.5000, 26 Jun 2024, 04:50:02
 11.3340, 3.99757,  238.122,  35.5046, 26 Jun 2024, 05:00:02
 11.3703, 4.00136,  237.751,  35.5075, 26 Jun 2024, 05:10:02
 11.3863, 4.00303,  237.504,  35.5088, 26 Jun 2024, 05:20:02
 11.3808, 4.00263,  237.257,  35.5102, 26 Jun 2024, 05:30:02
 11.3805, 4.00255,  237.133,  35.5098, 26 Jun 2024, 05:40:02
 11.3686, 4.00131,  237.010,  35.5090, 26 Jun 2024, 05:50:02
 11.3653, 4.00096,  236.886,  35.5087, 26 Jun 2024, 06:00:02
 11.3517, 3.99952,  236.886,  35.5075, 26 Jun 2024, 06:10:02
 11.3517, 3.99949,  236.763,  35.5073, 26 Jun 2024, 06:20:02
 11.3375, 3.99836,  236.886,  35.5096, 26 Jun 2024, 06:30:02
 11.3388, 3.99795,  236.763,  35.5044, 26 Jun 2024, 06:40:02
 11.3417, 3.99791,  236.763,  35.5012, 26 Jun 2024, 06:50:02
 11.3503, 3.99922,  236.763,  35.5059, 26 Jun 2024, 07:00:02
 11.3555, 3.99981,  236.763,  35.5068, 26 Jun 2024, 07:10:02
 11.3662, 4.00096,  236.515,  35.5080, 26 Jun 2024, 07:20:02
 11.3615, 4.00063,  236.639,  35.5092, 26 Jun 2024, 07:30:02
 11.3437, 3.99904,  236.763,  35.5105, 26 Jun 2024, 07:40:02
 11.3406, 3.99841,  236.639,  35.5073, 26 Jun 2024, 07:50:02
 11.3417, 3.99832,  236.639,  35.5053, 26 Jun 2024, 08:00:02
 11.3485, 3.99916,  236.515,  35.5072, 26 Jun 2024, 08:10:02
 11.3509, 3.99940,  236.639,  35.5072, 26 Jun 2024, 08:20:02
 11.3497, 3.99919,  236.515,  35.5063, 26 Jun 2024, 08:30:02
 11.3667, 4.00094,  236.639,  35.5073, 26 Jun 2024, 08:40:02
 11.3740, 4.00206,  236.515,  35.5114, 26 Jun 2024, 08:50:02
 11.3521, 3.99949,  236.639,  35.5069, 26 Jun 2024, 09:00:02
 11.3474, 3.99901,  236.515,  35.5067, 26 Jun 2024, 09:10:01
 11.3352, 3.99814,  236.515,  35.5098, 26 Jun 2024, 09:20:01
 11.3379, 3.99813,  236.515,  35.5071, 26 Jun 2024, 09:30:01
 11.3355, 3.99750,  236.639,  35.5031, 26 Jun 2024, 09:40:01
 11.3273, 3.99742,  236.886,  35.5101, 26 Jun 2024, 09:50:01
 11.3188, 3.99519,  236.886,  35.4962, 26 Jun 2024, 10:00:01
 11.3255, 3.99643,  237.010,  35.5020, 26 Jun 2024, 10:10:01
 11.3282, 3.99670,  237.504,  35.5018, 26 Jun 2024, 10:20:01
 11.3275, 3.99673,  237.875,  35.5026, 26 Jun 2024, 10:30:01
 11.3227, 3.99624,  238.246,  35.5022, 26 Jun 2024, 10:40:01
 11.3191, 3.99588,  238.617,  35.5020, 26 Jun 2024, 10:50:01
 11.3136, 3.99551,  238.987,  35.5034, 26 Jun 2024, 11:00:01
 11.3153, 3.99552,  239.234,  35.5018, 26 Jun 2024, 11:10:01
 11.3112, 3.99508,  239.605,  35.5012, 26 Jun 2024, 11:20:01
