ROCKALL TROUGH WESTERN BOUNDARY - OSNAP 2020
Start: Jul 2018
End:   Oct 2020
Columns =  Mooring: SerialNumber: MicrocatNumberInGridFile: Depth: Lon
----------------------------------------------
rtwb1_05_2018    9140     001    50    -12.695
rtwb1_05_2018   14355    002   100    -12.695
rtwb1_05_2018    3481    003   250    -12.695
rtwb1_05_2018    11329    004   500    -12.695
rtwb1_05_2018    10559    005   750    -12.695
rtwb1_05_2018    14368    006  1000    -12.695
rtwb1_05_2018   11337    007  1250    -12.695
rtwb1_05_2018    14353    008  1500    -12.695
rtwb1_05_2018    14354   009  1575    -12.695
rtwb2_05_2018    9372    003  1770    -12.331
