ROCKALL TROUGH WESTERN BOUNDARY - OSNAP 2020
Start: Jul 2018
End:   Oct 2020
Columns =  Mooring: SerialNumber: MicrocatNumberInGridFile: Depth: Lon
----------------------------------------------
rtwb1_06_2020    11343     001    50    -12.695
rtwb1_06_2020   11342    002   105    -12.695
rtwb1_06_2020    14364    003   250    -12.695
rtwb1_06_2020    7923    004   500    -12.695
rtwb1_06_2020    7924    005   750    -12.695
rtwb1_06_2020    11137    006  1000    -12.695
rtwb1_06_2020    11139    007  1250    -12.695
rtwb1_06_2020    10576    008  1500    -12.695
rtwb1_06_2020    11465    009  1575    -12.695
rtwb2_06_2020    13020    003  1770    -12.331
